GENERATION_PROJECT;gen_tech;gen_load_zone;gen_connect_cost_per_mw;gen_capacity_limit_mw;gen_full_load_heat_rate;gen_variable_om;gen_max_age;gen_min_build_capacity;gen_scheduled_outage_rate;gen_forced_outage_rate;gen_is_variable;gen_is_baseload;gen_is_cogen;gen_energy_source;gen_unit_size;gen_ccs_capture_efficiency;gen_ccs_energy_load;gen_storage_efficiency;gen_store_to_release_ratio
TERMO_YOPAL2;Thermal;BOY-CAS;0;.;12.0234;27.03;80;0;0.2216;0.1096;0;0;0;termoyopal_gas;.;.;.;.;.
TERMO_YOPAL1;Thermal;BOY-CAS;0;.;12.7057;27.03;80;0;0.2216;0.1096;0;0;0;termoyopal_gas;.;.;.;.;.
ELMORRO1;Thermal;BOY-CAS;0;.;1;27.03;80;0;0.35;0.35;0;0;0;termoyopal_gas;.;.;.;.;.
TC_GECELCA32;Thermal;COR-SUC;0;.;11;31.55;80;0;0.3;0.3;0;0;0;gecelca_car;.;.;.;.;.
TC_GECELCA3;Thermal;COR-SUC;0;.;13;31.55;80;0;0.3;0.3;0;0;0;gecelca_car;.;.;.;.;.
CC_FLORES4;Thermal;ATLANTICO;0;.;7.7395;27.03;80;0;0.1415;0.1003;0;0;0;flores_gas;.;.;.;.;.
CC_FLORES4_FO2;Thermal;ATLANTICO;0;.;8.0385;29.29;80;0;0.1415;0.1003;0;0;0;flores_fo2;.;.;.;.;.
ELMORRO2;Thermal;BOY-CAS;0;.;13.84;27.03;80;0;0.35;0.35;0;0;0;termoyopal_gas;.;.;.;.;.
CIMARRON;Thermal;BOY-CAS;0;.;13.5;27.03;80;0;0.35;0.35;0;0;0;barranquilla_gas;.;.;.;.;.
COG_MAYAGUEZ;Thermal;VALLE;0;.;0;0;80;0;0.35;0.35;0;0;0;NONE  ;.;.;.;.;.
TERMONORTE;Thermal;GCM;0;.;8.7515;29.29;80;0;0.1323;0.1323;0;0;0;flores_fo2;.;.;.;.;.
Purificacion;Thermal;HTC;0;.;11.148;27.03;80;0;0.35;0.35;0;0;0;barranquilla_gas;.;.;.;.;.
AUT_ARGOCGNA;Thermal;BOLIVAR;0;.;0;0;80;0;0.35;0.35;0;0;0;NONE  ;.;.;.;.;.
AUT_ARGOYUMB;Thermal;VALLE;0;.;0;0;80;0;0.35;0.35;0;0;0;NONE  ;.;.;.;.;.
AUT_REFICAR;Thermal;BOLIVAR;0;.;0;0;80;0;0.35;0.35;0;0;0;NONE  ;.;.;.;.;.
AUT_UNIBOL;Thermal;ATLANTICO;0;.;0;0;80;0;0.35;0.35;0;0;0;NONE  ;.;.;.;.;.
AUT_YAGUARIT;Thermal;MET-GUAV;0;.;0;0;80;0;0.35;0.35;0;0;0;NONE  ;.;.;.;.;.
BIOG_DJUANA;Thermal;BOG-CUN;0;.;0;0;80;0;0.35;0.35;0;0;0;NONE  ;.;.;.;.;.
COG_COLTEJER;Thermal;ANT-CHO;0;.;0;0;80;0;0.35;0.35;0;0;0;NONE  ;.;.;.;.;.
COG_MANUELIT;Thermal;VALLE;0;.;0;0;80;0;0.35;0.35;0;0;0;NONE  ;.;.;.;.;.
pwcon3;Thermal;COR-SUC;0;.;10.91;31.55;80;0;0.1323;0.1323;0;0;0;gecelca_car;.;.;.;.;.
jaguey;Thermal;MET-GUAV;0;.;10.91;31.55;80;0;0.1323;0.1323;0;0;0;termoyopal_gas;.;.;.;.;.
rubiales;Thermal;MET-GUAV;0;.;10.91;31.55;80;0;0.1323;0.1323;0;0;0;termoyopal_gas;.;.;.;.;.
TermoCaribe1;Thermal;BOLIVAR;0;.;10.91;31.55;80;0;0.1323;0.1323;0;0;0;barranquilla_gas;.;.;.;.;.
TermoCaribe2;Thermal;BOLIVAR;0;.;10.91;31.55;80;0;0.1323;0.1323;0;0;0;barranquilla_gas;.;.;.;.;.
TermoSolo1;Thermal;VALLE;0;.;10.91;31.55;80;0;0.1323;0.1323;0;0;0;termovalle_gas;.;.;.;.;.
TermoSolo2;Thermal;VALLE;0;.;10.91;31.55;80;0;0.1323;0.1323;0;0;0;termovalle_gas;.;.;.;.;.
BIOG-TEQUENDAMA;Thermal;GCM;0;.;0;0;80;0;0.35;0.35;0;0;0;NONE  ;.;.;.;.;.
TERMOBOLIVAR;Thermal;BOY-CAS;0;.;9.5;27.03;80;0;0.35;0.35;0;0;0;termoyopal_gas;.;.;.;.;.
MEN_ANTIOQUIA;Menores;ANT-CHO;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MEN_TOLIMA;Menores;HTC;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MEN_EMGESA;Menores;BOG-CUN;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MEN_NORDESTE;Menores;SANT-ARA;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MEN_EPM;Menores;ANT-CHO;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MEN_EPSA;Menores;VALLE;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MEN_CQR;Menores;CQR;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MEN_HUILA;Menores;HTC;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MEN_CAUCANAR;Menores;CAUCA;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MEN_EPM_VUEL;Menores;ANT-CHO;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MEN_EPM_HERR;Menores;ANT-CHO;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MEN_EPM_JEPI;Menores;GCM;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MEN_CHARQUITO;Menores;BOG-CUN;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MEN_NARPUT;Menores;NAR-PUT;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MEN_Magallo;Menores;ANT-CHO;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MEN_TEQUEN;Menores;BOG-CUN;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MEN_Naveta;Menores;BOG-CUN;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
TULUA_ALTO;Menores;VALLE;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
TULUA_BAJO;Menores;VALLE;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
AGUAFRESCA;Menores;ANT-CHO;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
MONTANITAS;Menores;ANT-CHO;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
AMAIME;Menores;VALLE;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
CARUQUIA;Menores;ANT-CHO;0;.;.;0;80;0;0.35;0.35;0;1;0;RunofRiver;.;.;.;.;.
